"time,latitudelongitude,depthmagType,nstgap,dminrms,netid,updatedplace,typehorizontalError,depthErrormagError,magNststatus,locationSource,magSource"
",-5.6205,-81.2878,,,,,,,,,,,,,,,,,,"
",-5.6169,-81.287199,,,,,,,,,,,,,,,,,,"
",-5.6174,-81.29,,,,,,,,,,,,,,,,,,"
",-5.6166,-81.2912,,,,,,,,,,,,,,,,,,"
",-5.6057,-81.285199,,,,,,,,,,,,,,,,,,"
",-5.6009,-81.281099,,,,,,,,,,,,,,,,,,"
",-5.5945,-81.2798,,,,,,,,,,,,,,,,,,"
",-5.5878,-81.280599,,,,,,,,,,,,,,,,,,"
",-5.5814,-81.2815,,,,,,,,,,,,,,,,,,"
",-5.5754,-81.2794,,,,,,,,,,,,,,,,,,"
",-5.5691,-81.2782,,,,,,,,,,,,,,,,,,"
",-5.5636,-81.275899,,,,,,,,,,,,,,,,,,"
",-5.5575,-81.275399,,,,,,,,,,,,,,,,,,"
",-5.5516,-81.2735,,,,,,,,,,,,,,,,,,"
",-5.5464,-81.2703,,,,,,,,,,,,,,,,,,"
",-5.5415,-81.266799,,,,,,,,,,,,,,,,,,"
",-5.5363,-81.2661,,,,,,,,,,,,,,,,,,"
",-5.5397,-81.267999,,,,,,,,,,,,,,,,,,"
",-5.5428,-81.269299,,,,,,,,,,,,,,,,,,"
",-5.5413,-81.2708,,,,,,,,,,,,,,,,,,"
",-5.5542,-81.2726,,,,,,,,,,,,,,,,,,"
",-5.5611,-81.274,,,,,,,,,,,,,,,,,,"
",-5.5746,-81.2762,,,,,,,,,,,,,,,,,,"
",-5.5814,-81.276999,,,,,,,,,,,,,,,,,,"
",-5.5875,-81.2801,,,,,,,,,,,,,,,,,,"
",-5.5943,-81.280199,,,,,,,,,,,,,,,,,,"
",-5.601,-81.281,,,,,,,,,,,,,,,,,,"
",-5.6072,-81.2824,,,,,,,,,,,,,,,,,,"
",-5.6132,-81.2855,,,,,,,,,,,,,,,,,,"
",-5.6154,-81.2868,,,,,,,,,,,,,,,,,,"
",-5.6122,-81.284699,,,,,,,,,,,,,,,,,,"
",-5.6097,-81.2841,,,,,,,,,,,,,,,,,,"
",-5.6075,-81.2837,,,,,,,,,,,,,,,,,,"
",-5.5903,-81.2828,,,,,,,,,,,,,,,,,,"
",-5.5835,-81.2833,,,,,,,,,,,,,,,,,,"
",-5.5776,-81.2801,,,,,,,,,,,,,,,,,,"
",-5.5713,-81.2778,,,,,,,,,,,,,,,,,,"
",-5.5645,-81.2764,,,,,,,,,,,,,,,,,,"
",-5.5578,-81.2748,,,,,,,,,,,,,,,,,,"
",-5.5511,-81.2731,,,,,,,,,,,,,,,,,,"
",-5.5379,-81.268599,,,,,,,,,,,,,,,,,,"
",-5.5315,-81.2678,,,,,,,,,,,,,,,,,,"
",-5.5311,-81.2683,,,,,,,,,,,,,,,,,,"
",-5.5345,-81.269299,,,,,,,,,,,,,,,,,,"
",-5.5339,-81.2692,,,,,,,,,,,,,,,,,,"
",-5.5323,-81.269799,,,,,,,,,,,,,,,,,,"
",-5.5583,-81.2735,,,,,,,,,,,,,,,,,,"
",-5.5649,-81.2753,,,,,,,,,,,,,,,,,,"
",-5.5784,-81.2776,,,,,,,,,,,,,,,,,,"
",-5.5913,-81.281,,,,,,,,,,,,,,,,,,"
",-5.5978,-81.281799,,,,,,,,,,,,,,,,,,"
",-5.6044,-81.2823,,,,,,,,,,,,,,,,,,"
",-5.6109,-81.284499,,,,,,,,,,,,,,,,,,"
",-5.6172,-81.287199,,,,,,,,,,,,,,,,,,"
",-5.6237,-81.288299,,,,,,,,,,,,,,,,,,"
",-5.6212,-81.2873,,,,,,,,,,,,,,,,,,"
",-5.6175,-81.2869,,,,,,,,,,,,,,,,,,"
",-5.6184,-81.2846,,,,,,,,,,,,,,,,,,"
",-5.6183,-81.285,,,,,,,,,,,,,,,,,,"
",-5.6052,-81.2846,,,,,,,,,,,,,,,,,,"
",-5.5989,-81.2825,,,,,,,,,,,,,,,,,,"
",-5.5921,-81.281999,,,,,,,,,,,,,,,,,,"
",-5.5853,-81.2816,,,,,,,,,,,,,,,,,,"
",-5.5787,-81.279699,,,,,,,,,,,,,,,,,,"
",-5.572,-81.2782,,,,,,,,,,,,,,,,,,"
",-5.5652,-81.277499,,,,,,,,,,,,,,,,,,"
",-5.5586,-81.2753,,,,,,,,,,,,,,,,,,"
",-5.552,-81.273599,,,,,,,,,,,,,,,,,,"
",-5.5464,-81.2695,,,,,,,,,,,,,,,,,,"
",-5.5406,-81.2662,,,,,,,,,,,,,,,,,,"
",-5.5341,-81.2653,,,,,,,,,,,,,,,,,,"
",-5.5352,-81.2667,,,,,,,,,,,,,,,,,,"
",-5.5391,-81.2674,,,,,,,,,,,,,,,,,,"
",-5.5396,-81.2694,,,,,,,,,,,,,,,,,,"
",-5.2531,-81.3879,,,,,,,,,,,,,,,,,,"
",-5.2464,-81.387499,,,,,,,,,,,,,,,,,,"
",-5.24,-81.3877,,,,,,,,,,,,,,,,,,"
",-5.2267,-81.387999,,,,,,,,,,,,,,,,,,"
",-5.2201,-81.387999,,,,,,,,,,,,,,,,,,"
",-5.2134,-81.3883,,,,,,,,,,,,,,,,,,"
",-5.2065,-81.3886,,,,,,,,,,,,,,,,,,"
",-5.1999,-81.385899,,,,,,,,,,,,,,,,,,"
",-5.1941,-81.3818,,,,,,,,,,,,,,,,,,"
",-5.1869,-81.3775,,,,,,,,,,,,,,,,,,"
",-5.1901,-81.3797,,,,,,,,,,,,,,,,,,"
",-5.1891,-81.380299,,,,,,,,,,,,,,,,,,"
",-5.1882,-81.380499,,,,,,,,,,,,,,,,,,"
",-5.1981,-81.3888,,,,,,,,,,,,,,,,,,"
",-5.204,-81.3895,,,,,,,,,,,,,,,,,,"
